0,c0000000,00000000,00000000
1,3c000000,00000000,00000000
2,70000000,00000000,00000000
3,f4000000,00000000,00000000
4,30000000,00000000,00000000
5,f4000000,00000000,00000000
6,f4000000,00000000,00000000
7,1c000000,00000000,00000000
8,0c000000,00000000,00000000
9,dc000000,00000000,00000000
10,c0000000,00000000,00000000
11,10000000,00000000,00000000
12,04000000,00000000,00000000
13,04000000,00000000,00000000
14,40000000,00000000,00000000
15,14000000,00000000,00000000
16,c4000000,00000000,00000000
17,d4000000,00000000,00000000
18,00000000,00000000,00000000
19,0c000000,00000000,00000000
20,14000000,00000000,00000000
21,c0000000,00000000,00000000
22,44000000,00000000,00000000
23,54000000,00000000,00000000
24,70000000,00000000,00000000
25,c0000000,00000000,00000000
26,70000000,00000000,00000000
27,3c000000,00000000,00000000
28,40000000,00000000,00000000
29,54000000,00000000,00000000
30,c0000000,00000000,00000000
31,74000000,00000000,00000000
32,00000000,00000000,00000000
33,0c000000,00000000,00000000
34,fc000000,00000000,00000000
35,5c000000,00000000,00000000
36,dc000000,00000000,00000000
37,cc000000,00000000,00000000
38,44000000,00000000,00000000
39,c4000000,00000000,00000000
40,c4000000,00000000,00000000
41,c0000000,00000000,00000000
42,c0000000,00000000,00000000
43,54000000,00000000,00000000
44,0c000000,00000000,00000000
45,d0000000,00000000,00000000
46,f4000000,00000000,00000000
47,14000000,00000000,00000000
48,10000000,00000000,00000000
49,44000000,00000000,00000000
50,f4000000,00000000,00000000
51,c4000000,00000000,00000000
52,10000000,00000000,00000000
53,40000000,00000000,00000000
54,cc000000,00000000,00000000
55,74000000,00000000,00000000
56,30000000,00000000,00000000
57,f0000000,00000000,00000000
58,30000000,00000000,00000000
59,0c000000,00000000,00000000
60,14000000,00000000,00000000
61,04000000,00000000,00000000
62,cc000000,00000000,00000000
63,fc000000,00000000,00000000
64,10000000,00000000,00000000
65,70000000,00000000,00000000
66,c4000000,00000000,00000000
67,c4000000,00000000,00000000
68,f0000000,00000000,00000000
69,dc000000,00000000,00000000
70,44000000,00000000,00000000
71,d0000000,00000000,00000000
72,44000000,00000000,00000000
73,40000000,00000000,00000000
74,5c000000,00000000,00000000
75,50000000,00000000,00000000
76,f0000000,00000000,00000000
77,cc000000,00000000,00000000
78,4c000000,00000000,00000000
79,cc000000,00000000,00000000
80,cc000000,00000000,00000000
81,74000000,00000000,00000000
82,0c000000,00000000,00000000
83,00000000,00000000,00000000
84,1c000000,00000000,00000000
85,1c000000,00000000,00000000
86,0c000000,00000000,00000000
87,74000000,00000000,00000000
88,54000000,00000000,00000000
89,00000000,00000000,00000000
90,d0000000,00000000,00000000
91,c4000000,00000000,00000000
92,00000000,00000000,00000000
93,5c000000,00000000,00000000
94,d0000000,00000000,00000000
95,5c000000,00000000,00000000
96,c4000000,00000000,00000000
97,1c000000,00000000,00000000
98,4c000000,00000000,00000000
99,7c000000,00000000,00000000
100,10000000,00000000,00000000
101,04000000,00000000,00000000
102,7c000000,00000000,00000000
103,50000000,00000000,00000000
104,d4000000,00000000,00000000
105,4c000000,00000000,00000000
106,44000000,00000000,00000000
107,44000000,00000000,00000000
108,40000000,00000000,00000000
109,1c000000,00000000,00000000
110,3c000000,00000000,00000000
111,c0000000,00000000,00000000
112,74000000,00000000,00000000
113,70000000,00000000,00000000
114,0c000000,00000000,00000000
115,10000000,00000000,00000000
116,c4000000,00000000,00000000
117,d0000000,00000000,00000000
118,d0000000,00000000,00000000
119,c0000000,00000000,00000000
120,34000000,00000000,00000000
121,70000000,00000000,00000000
122,c4000000,00000000,00000000
123,40000000,00000000,00000000
124,54000000,00000000,00000000
125,74000000,00000000,00000000
126,74000000,00000000,00000000
127,3c000000,00000000,00000000
128,14000000,00000000,00000000
129,dc000000,00000000,00000000
130,0c000000,00000000,00000000
131,dc000000,00000000,00000000
132,c4000000,00000000,00000000
133,74000000,00000000,00000000
134,34000000,00000000,00000000
135,00000000,00000000,00000000
136,14000000,00000000,00000000
137,40000000,00000000,00000000
138,70000000,00000000,00000000
139,44000000,00000000,00000000
